#training_samples - #eopchs - #training rate - # minibatch size


54000_30_3_10 - 28^2 x 100 x 10
===============================

06/18/2018


1. Train neural network with MNIST data
2. Run neural network on MNIST test data
1
Importing training data from C:\Users\s.schmidt\dev\private\MNIST...
Read 60000 train images
Importing test data from C:\Users\s.schmidt\dev\private\MNIST...
Read 10000 test images
Generating 54000 training samples...
Generating 6000 validation samples...

Network configuration: 784 x 100 x 10
Training batch size: 54000
Validation batch size: 6000
Minibatch size: 10
Number of minibatches: 5400
Learning rate: 3.000000
Cost function: Quadratic
L2 regularization: 0.000000

Epoch 1 - training accuracy 0.283056 - validation accuracy 0.275167 - cost 0.371127
Epoch 2 - training accuracy 0.296593 - validation accuracy 0.290333 - cost 0.361279
Epoch 3 - training accuracy 0.431407 - validation accuracy 0.427833 - cost 0.315548
Epoch 4 - training accuracy 0.771000 - validation accuracy 0.764000 - cost 0.130913
Epoch 5 - training accuracy 0.871833 - validation accuracy 0.864667 - cost 0.078700
Epoch 6 - training accuracy 0.966463 - validation accuracy 0.956833 - cost 0.031182
Epoch 7 - training accuracy 0.977907 - validation accuracy 0.967667 - cost 0.020723
Epoch 8 - training accuracy 0.980944 - validation accuracy 0.969167 - cost 0.017728
Epoch 9 - training accuracy 0.982870 - validation accuracy 0.968500 - cost 0.016452
Epoch 10 - training accuracy 0.984185 - validation accuracy 0.970167 - cost 0.016071
Epoch 11 - training accuracy 0.982648 - validation accuracy 0.965667 - cost 0.018649
Epoch 12 - training accuracy 0.988259 - validation accuracy 0.974667 - cost 0.011477
Epoch 13 - training accuracy 0.988278 - validation accuracy 0.973000 - cost 0.011498
Epoch 14 - training accuracy 0.987741 - validation accuracy 0.972167 - cost 0.011814
Epoch 15 - training accuracy 0.990296 - validation accuracy 0.973333 - cost 0.009646
Epoch 16 - training accuracy 0.990278 - validation accuracy 0.974333 - cost 0.009405
Epoch 17 - training accuracy 0.990685 - validation accuracy 0.972000 - cost 0.009137
Epoch 18 - training accuracy 0.991815 - validation accuracy 0.973333 - cost 0.007655
Epoch 19 - training accuracy 0.991704 - validation accuracy 0.973500 - cost 0.007366
Epoch 20 - training accuracy 0.992426 - validation accuracy 0.971667 - cost 0.007274
Epoch 21 - training accuracy 0.993222 - validation accuracy 0.975667 - cost 0.006036
Epoch 22 - training accuracy 0.993537 - validation accuracy 0.975000 - cost 0.005381
Epoch 23 - training accuracy 0.993741 - validation accuracy 0.974667 - cost 0.005214
Epoch 24 - training accuracy 0.993778 - validation accuracy 0.975000 - cost 0.005072
Epoch 25 - training accuracy 0.994074 - validation accuracy 0.973500 - cost 0.004609
Epoch 26 - training accuracy 0.994222 - validation accuracy 0.976500 - cost 0.004388
Epoch 27 - training accuracy 0.994407 - validation accuracy 0.975167 - cost 0.003981
Epoch 28 - training accuracy 0.994519 - validation accuracy 0.975500 - cost 0.004257
Epoch 29 - training accuracy 0.994648 - validation accuracy 0.974667 - cost 0.003730
Epoch 30 - training accuracy 0.994704 - validation accuracy 0.975500 - cost 0.003585

Generating 10000 training samples for test data...
Image 8: is 5, classified as 6
Image 247: is 4, classified as 2
Image 320: is 9, classified as 8
Image 445: is 6, classified as 0
Image 449: is 3, classified as 5
Image 495: is 8, classified as 0
Image 582: is 8, classified as 2
Image 583: is 2, classified as 8
Image 619: is 1, classified as 8
Image 629: is 2, classified as 6
Image 684: is 7, classified as 2
Image 691: is 8, classified as 4
Image 720: is 5, classified as 8
Image 740: is 4, classified as 9
Image 810: is 7, classified as 2
Image 947: is 8, classified as 9
Image 950: is 7, classified as 2
Image 951: is 5, classified as 4
Image 956: is 1, classified as 3
Image 959: is 4, classified as 9
Image 965: is 6, classified as 0
Image 1014: is 6, classified as 5
Image 1044: is 6, classified as 8
Image 1112: is 4, classified as 6
Image 1156: is 7, classified as 8
Image 1166: is 3, classified as 5
Image 1178: is 4, classified as 6
Image 1181: is 6, classified as 1
Image 1226: is 7, classified as 2
Image 1232: is 9, classified as 4
Image 1242: is 4, classified as 9
Image 1247: is 9, classified as 0
Image 1260: is 7, classified as 1
Image 1283: is 7, classified as 2
Image 1319: is 8, classified as 3
Image 1326: is 7, classified as 1
Image 1328: is 7, classified as 9
Image 1494: is 7, classified as 9
Image 1500: is 7, classified as 1
Image 1522: is 7, classified as 9
Image 1530: is 8, classified as 7
Image 1549: is 4, classified as 6
Image 1553: is 9, classified as 3
Image 1609: is 2, classified as 6
Image 1678: is 2, classified as 0
Image 1681: is 3, classified as 7
Image 1709: is 9, classified as 3
Image 1717: is 8, classified as 0
Image 1754: is 7, classified as 2
Image 1790: is 2, classified as 8
Image 1800: is 6, classified as 2
Image 1878: is 8, classified as 3
Image 1901: is 9, classified as 4
Image 1903: is 7, classified as 2
Image 1911: is 5, classified as 6
Image 1982: is 6, classified as 5
Image 1987: is 0, classified as 9
Image 2004: is 8, classified as 3
Image 2016: is 7, classified as 2
Image 2024: is 7, classified as 9
Image 2035: is 5, classified as 3
Image 2044: is 2, classified as 7
Image 2047: is 6, classified as 5
Image 2053: is 4, classified as 9
Image 2070: is 7, classified as 5
Image 2093: is 8, classified as 1
Image 2098: is 2, classified as 0
Image 2109: is 3, classified as 7
Image 2135: is 6, classified as 1
Image 2148: is 4, classified as 9
Image 2182: is 1, classified as 3
Image 2266: is 1, classified as 6
Image 2272: is 8, classified as 0
Image 2293: is 9, classified as 6
Image 2369: is 5, classified as 9
Image 2387: is 9, classified as 1
Image 2422: is 6, classified as 4
Image 2488: is 2, classified as 6
Image 2607: is 7, classified as 2
Image 2648: is 9, classified as 0
Image 2654: is 6, classified as 1
Image 2720: is 9, classified as 4
Image 2769: is 9, classified as 4
Image 2877: is 4, classified as 7
Image 2896: is 8, classified as 0
Image 2915: is 7, classified as 3
Image 2927: is 3, classified as 2
Image 2939: is 9, classified as 7
Image 3005: is 9, classified as 1
Image 3030: is 6, classified as 8
Image 3060: is 9, classified as 7
Image 3073: is 1, classified as 2
Image 3117: is 5, classified as 9
Image 3189: is 7, classified as 6
Image 3225: is 7, classified as 9
Image 3333: is 7, classified as 9
Image 3405: is 4, classified as 9
Image 3422: is 6, classified as 0
Image 3460: is 9, classified as 4
Image 3490: is 4, classified as 9
Image 3503: is 9, classified as 1
Image 3520: is 6, classified as 4
Image 3549: is 3, classified as 2
Image 3558: is 5, classified as 0
Image 3559: is 8, classified as 5
Image 3597: is 9, classified as 3
Image 3751: is 7, classified as 2
Image 3757: is 8, classified as 0
Image 3776: is 5, classified as 8
Image 3780: is 4, classified as 6
Image 3817: is 2, classified as 4
Image 3831: is 9, classified as 4
Image 3838: is 7, classified as 4
Image 3853: is 6, classified as 5
Image 3855: is 5, classified as 0
Image 3893: is 5, classified as 6
Image 3902: is 5, classified as 9
Image 3906: is 1, classified as 3
Image 3941: is 4, classified as 6
Image 3976: is 7, classified as 1
Image 3985: is 9, classified as 4
Image 4007: is 7, classified as 4
Image 4065: is 0, classified as 2
Image 4075: is 8, classified as 0
Image 4078: is 9, classified as 3
Image 4102: is 7, classified as 9
